Sample	Cancer	BKV	HBV	HCV	HHV1	HHV4	HHV5	HHV6	HPV11	HPV133	HPV16	HPV18	HPV26	HPV30	HPV31	HPV33	HPV35	HPV39	HPV45	HPV51	HPV52	HPV56	HPV6	HPV68	HPV69	HPV70	HPV73	HPV94
TCGA-IC-A6RE-01A-11R-A336-31	ESCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IC-A6RF-01A-13R-A336-31	ESCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IG-A3I8-01A-11R-A24K-31	ESCA	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IG-A3QL-01A-11R-A24K-31	ESCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IG-A3Y9-01A-12R-A24K-31	ESCA	0	0	0	0	70.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IG-A3YA-01A-11R-A24K-31	ESCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IG-A3YB-01A-11R-A36D-31	ESCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IG-A3YC-01A-11R-A24K-31	ESCA	0	0	0	0	4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IG-A4P3-01A-11R-A260-31	ESCA	0	0	0	0	3.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IG-A4QS-01A-11R-A260-31	ESCA	0	0	0	0	0	25.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IG-A4QT-01A-21R-A260-31	ESCA	0	0	0	0	3.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IG-A50L-01A-11R-A260-31	ESCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IG-A51D-01A-11R-A36D-31	ESCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IG-A5B8-01A-11R-A28J-31	ESCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IG-A5S3-01A-11R-A28J-31	ESCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IG-A625-01A-11R-A31P-31	ESCA	0	0	0	0	0	103.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IG-A6QS-01A-12R-A336-31	ESCA	0	0	0	0	0	109.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IG-A7DP-01A-31R-A336-31	ESCA	0	0	0	0	2840.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IG-A8O2-01A-11R-A36D-31	ESCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-JY-A6F8-01A-11R-A336-31	ESCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-JY-A6FA-01A-11R-A336-31	ESCA	0	0	0	0	0	18.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-JY-A6FB-01A-11R-A336-31	ESCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-JY-A6FD-01A-11R-A336-31	ESCA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-JY-A6FE-01A-11R-A336-31	ESCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-JY-A6FG-01A-11R-A336-31	ESCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-JY-A6FH-01A-11R-A336-31	ESCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-KH-A6WC-01A-11R-A336-31	ESCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-L5-A43C-01A-11R-A24K-31	ESCA	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-L5-A43E-01A-11R-A24K-31	ESCA	0	0	0	0	42.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-L5-A43H-01A-11R-A24K-31	ESCA	0	0	0	0	395.5	4.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-L5-A43I-01A-11R-A24K-31	ESCA	0	0	0	0	0.9	0	0	0	0	0	63.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-L5-A43J-01A-12R-A24K-31	ESCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-L5-A43M-01A-11R-A24K-31	ESCA	0	0	0	0	7.7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-L5-A4OE-01A-11R-A260-31	ESCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-L5-A4OF-01A-11R-A260-31	ESCA	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-L5-A4OG-01A-11R-A260-31	ESCA	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-L5-A4OH-01A-11R-A260-31	ESCA	0	0	0	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-L5-A4OI-01A-11R-A36D-31	ESCA	0	0	0	0	5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-L5-A4OJ-01A-11R-A260-31	ESCA	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-L5-A4OM-01A-11R-A260-31	ESCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-L5-A4ON-01A-11R-A260-31	ESCA	0	0	0	33040.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-L5-A4OO-01A-11R-A260-31	ESCA	0	0	0	0	4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-L5-A4OP-01A-11R-A260-31	ESCA	0	0	0	0	21.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-L5-A4OQ-01A-11R-A260-31	ESCA	0	0	0	0	10.3	0	1407.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-L5-A4OR-01A-11R-A260-31	ESCA	0	0	0	0	217.3	70.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-L5-A4OS-01A-11R-A28J-31	ESCA	0	0	0	0	4357.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
