NavB_up.ES	MemB_up.ES	CD8T_up.ES	CD4T_up.ES	NKcell_up.ES	Monocyte_up.ES	NavB_dn.ES	MemB_dn.ES	CD8T_dn.ES	CD4T_dn.ES	NKcell_dn.ES	Monocyte_dn.ES	NavB_up.pval	MemB_up.pval	CD8T_up.pval	CD4T_up.pval	NKcell_up.pval	Monocyte_up.pval	NavB_dn.pval	MemB_dn.pval	CD8T_dn.pval	CD4T_dn.pval	NKcell_dn.pval	Monocyte_dn.pval
ACC__TCGA-OR-A5J1	-4.3842039973037	-5.42774423962826	-8.17660861766506	-4.71598699192615	-7.33943128832828	-14.0524292585848	-7.55961612169055	-7.87259612519932	-5.84307440028013	-4.93147321518994	-5.33382575916897	-5.44592701624859	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5J2	-5.6007245761168	-5.98353884785	-6.50828142808086	-3.46930877733933	-6.61923028575662	-23.8830429657143	-7.40596843545693	-8.15845890623815	-6.57607070764807	-7.08247939026813	-5.00021149160026	-4.95403373008026	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5J3	-8.63567568439331	-9.79898101845633	-11.9677426678121	-7.63094336329433	-11.1800755367204	-30.1904636561573	-10.2704742849882	-11.0776898860799	-7.99716729202479	-8.32149126053701	-6.41307550135813	-7.52782094723079	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5J5	-7.90158200305493	-9.89306904384624	-12.2001847187075	-7.17824829780767	-11.1264374595789	-27.7568245000004	-10.9459561754328	-6.87383776912636	-9.02027534784658	-4.25200199264683	-6.03677718896067	-6.08469667611098	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5J6	0.672347480629582	1.6950415439717	-6.03894341905781	-4.03898721325941	-2.94776046942863	-9.74688163004886	-7.82446115574465	-10.4823563619983	-6.56970492644032	1.12143574035651	-5.18487038771347	-4.58917220241321	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5J7	-8.0548953156511	-8.76484756865864	-12.2039636967095	-5.98963321478552	-11.6572304698137	-22.8520962288771	-6.81038832406307	-6.79781516357952	-5.57101581727373	-8.5156364143842	-3.0248422012531	-7.94766075915739	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5J8	-3.96176238011481	-3.94086299347679	1.17151746565298	-2.64975196899631	2.05317226475463	2.34371165654163	-5.67754554415622	1.57759429914437	-6.05078906095392	2.51694046093572	-4.29279158262888	-1.6235336226052	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5J9	-8.73150844738168	-9.23490303592885	-10.0890398051147	-5.57004090277604	-9.58891000753479	-28.2396075316655	-8.61168714813824	-7.02808320101158	-6.28098858503993	-7.71747157281862	-5.75394545963322	-4.30785082311512	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JA	-9.01146174418926	-9.68687443169194	-13.3389613103073	-7.84980695568622	-12.6347731712093	-22.8984823991209	-9.02378725433617	-9.59393729977521	-6.76066364126756	-6.85243391501792	-5.35514708713538	-9.67035566598442	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JB	0.682902538920014	1.19530008854601	1.80374736812204	2.46047181822789	3.04020117278474	2.43583864570497	4.43537434216988	1.95831857104657	4.20803209372437	1.61616596376807	2.59777911743187	-1.98246324016353	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JC	-5.46941400468758	-7.11874143457722	-10.1274656660406	-6.26459730486805	-8.28013968737866	-17.6482142244368	-7.98578056845087	-7.49888838303688	-6.23257832203188	-4.4525573476667	-5.53490309827786	-8.16527112076613	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JD	1.16694002827833	1.56941768121325	-3.02666125574466	-3.53328392492323	1.07447685875543	-10.2483342053824	-6.69749755942962	-6.50496971578693	-5.83822192841822	-4.43087723715033	-5.27497568124746	-4.29872119329459	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JE	-6.92494761048446	-8.63154352310783	-11.2849005138657	-6.28258460524609	-10.2607075466919	-16.1391800268339	-8.75948613408905	-7.32130546404533	-6.89115339006839	-5.23497195846084	-4.19859192986088	-7.03071348299454	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JF	-6.90691798783392	-7.90302060485973	-10.8459335858026	-6.79331006931835	-9.75093060969659	-25.5678694694418	-8.32605074408444	-10.4679807956031	-8.05035301625846	-7.65896658786469	-6.88671737802755	-6.64384713498475	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JG	-7.96168601749006	-8.28382836519437	-11.7682859910759	-6.8289794612222	-11.3175178582457	-20.0031345520077	-7.97182897657622	-8.45048175126768	-6.53158868270972	-6.64972892426251	-5.3885978672211	-8.98930996010737	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JI	1.01045355774293	-3.22925804611682	-2.32115777229722	-3.18682423185275	-2.7884906215905	-11.3802403998233	-6.57073186997853	-4.68407840475146	-6.76597739763482	-2.88844815794817	-5.77200403399135	-1.49270100215584	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JJ	-7.13987646165893	-9.17563614167815	-7.81156688138515	-5.51612731058719	-9.03810828939077	-29.1392364859373	-9.02914097054431	-7.04837180308864	-8.219112871834	-8.40257098418379	-5.6095252691848	-4.02547912825746	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JK	1.38363792890543	1.98226539558969	-2.97381624000891	-3.14399579860137	1.28041349959723	-11.3885778310866	-7.00692290713041	-3.7881286489574	-6.10540780369631	1.0004208750103	-4.41473029856312	0.836358587298261	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JL	-3.09816603987015	-4.59965731100239	-8.21809192175006	-4.97869965838264	-8.09913521424012	-13.4475629821528	-7.47679495186963	-7.27214677063629	-6.33159297965004	-6.41529092277724	-5.00704948383536	-7.33323840091841	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JM	-9.23850177378877	-10.1763211401559	-12.003316539061	-7.10938418482451	-11.5010636634488	-27.4287665970577	-8.28568836283916	-10.1333235037409	-6.05709323807157	-9.6172683052584	-3.8897860726125	-9.55316810127045	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JO	1.93040763526405	2.34573233409415	1.57250287050363	-2.60539975010602	3.2723868233538	2.49816886055946	3.15713095113481	0.969955945429657	-5.83814986255339	2.64079520709823	-3.89573901781602	1.42308653420578	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JP	-8.89077080527035	-10.3905655249985	-12.0823934226203	-6.60874570359383	-11.1373300573716	-25.5422724358793	-9.28453592317054	-6.99735049310894	-7.5254786331555	-6.62173566519228	-4.60250010061541	-7.87618360260594	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JQ	0.915271892899222	1.57883952384316	-2.12474600607647	-3.17396417279987	1.07525744843731	-9.513807854214	-6.14769856228181	-2.81406633866185	-5.68737366451026	1.17937087795359	-4.41372608061411	-2.27188272619242	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JR	0.89969844248057	-3.05364955515631	-3.69034985086363	-3.56821131411078	1.20624924589417	-12.1599493616142	-5.42643388276253	-5.54137739812343	-5.34494408906303	-5.33489823436442	-5.02424864739874	-4.54597010671966	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JS	-6.30737779428789	-7.71255810363555	-7.96456291813823	-4.69453999671843	-7.71644320932774	-25.4709336892221	-7.03687730309152	-8.31949224018295	-4.93156865444337	-9.45346123079612	-4.655264462964	-4.61989250913915	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JT	-4.38883261378869	-5.80223029690678	-8.14627929034071	-4.60916719893467	-7.3898777489374	-17.8798659288629	-7.42557014988609	-8.27277615285913	-6.28662476359597	-7.07108132912904	-6.21603519933501	-6.18877744552463	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JV	1.0980322702626	-4.59846529122162	-2.6532377225127	-3.12479072458289	-3.08488372686665	1.87901742513882	-5.44456745801421	-3.02990561442313	-5.32147760027434	1.6581070416068	-4.15506330092089	-4.8813586324345	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JW	-3.34362782749531	-4.49157275581978	-10.6918652889142	-5.5469084147767	-9.09838069410075	-14.6773622981739	-6.07905613678511	-8.71619751149356	-5.76067468626499	-5.95038102889239	-4.16132178010627	-6.65563230932805	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JX	-2.83563900810341	-4.68010079508289	-8.31503090490295	-5.09256671378678	-6.5044070143643	-18.7755777618402	-9.00394743451603	-9.49883247283491	-7.31127911818286	-5.2061341005265	-6.85615994462582	-4.58032285637309	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JY	-3.3938222819756	-3.80327033049582	-8.08097753666439	-4.40399830389899	-6.01186686794399	-12.9342022741826	-8.16294423703522	-6.41189723340877	-6.50627190439554	-7.1282375426947	-4.68779438948193	-7.47184142464179	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JZ	-2.61198924382208	-3.47334112314377	-6.08543238288717	-3.92656482025104	-3.82584692406332	-11.4600120735481	-7.39901019360052	-6.76974613038364	-6.60471055334095	-6.24080752370772	-5.20350862984346	-6.24351495201104	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5K0	-4.83025818247328	-6.42380490371907	-8.97246946567661	-5.98696257805842	-8.75248904270413	-24.8398809768528	-9.56597759117079	-10.1318589042017	-7.59651377624019	-7.49912533632579	-5.85230240445514	-6.33606192385011	0	0	0	0	0	0	0	0	0	0	0	0
