B cell	T cell CD4+	T cell CD8+	Neutrophil	Macrophage	Myeloid dendritic cell
A_1	0.141496684527933	0.148627119203158	0.389817344268314	0.174294271998339	0.239087293654621	0.686686991295442
A_2	0.0672267627746867	0.109588749372965	0.129443914828095	0.122500464455777	0	0.449610890682606
A_3	0.127668353117444	0.269582686004015	0.413697073254157	0.25220290124609	0.290920019284678	0.814026540894047
A_4	0.0800503258797679	0.218189462925639	0.22970826976176	0.198852037322007	0.419520640878073	0.642576116145909
A_5	0.0450404368540352	0.136171493727427	0.10774628757134	0.111776871006581	0.0628146939023714	0.506415224298515
A_6	0.154801690217231	0.200035445626121	0.418257110795858	0.179020453183205	0.072382501961153	0.661553407669163
A_7	0.0967723230174736	0.106627392045039	0.182984347922396	0.103198628472928	0	0.475361742757346
A_8	0.0551346625421863	0.103246239277883	0.15793672888731	0.0947139802989633	0.0417022718244581	0.404444240393443
A_9	0.0646185182691927	0.142117123317557	0.167799539238303	0.0989951073883615	0.0595018954411697	0.428598786532854
A_10	0.0551484943919406	0.135139185026489	0.232130264155927	0.131672329257825	0.0622985559997964	0.559149417763319
A_11	0.147114043167026	0.195157854390081	0.269812244807144	0.19557645634819	0.15847931360196	0.756778509613372
A_12	0.175846326351966	0.0651502127258217	0.655288097012687	0.215947654929434	0	0.726253868017244
A_13	0.0542630995930833	0.0739737635812883	0.14557878239104	0.0828206451626714	0	0.407125707601029
A_14	0.247259843458999	0.0697674978087429	0.197084248555745	0.14373454861589	0.170625690411923	0.656176135759492
A_15	0.0518073235426288	0.0844213291436268	0.126551864447906	0.1098560592312	0.0359155150071843	0.443810197506803
A_16	0.0534577776228872	0.0705246106346404	0.133449708586873	0.0741689306237409	0	0.355883793653593
A_17	0.0385219902112112	0.187103251606358	0.694855153098354	0.189888464746126	0	0.69244389466079
A_18	0.0514407177067498	0.103088968470536	0.14699003677195	0.0977432359727776	0	0.435600161996855
A_19	0.0385865949135768	0.0523858543918918	0.180776282507627	0.092908116811003	0.114228950836498	0.615496024821322
A_20	0.139034403089856	0.138263894815929	0.2554624867052	0.184641388234273	0	0.754651007688916
A_21	0.0967133998310296	0.173110007585609	0.179506673188961	0.172655818682489	0.0674272010025913	0.688076957528392
A_22	0.0322977467493645	0.239064467352381	0.206613123137653	0.137248141638894	0.112037359204659	0.609955691251558
A_23	0.0186802364852253	0.0525136639364841	0.136663358040293	0.104968599954632	0	0.718696787336001
A_24	0.0672724499245145	0.0643314189874473	0.16712579091355	0.0866671600250194	0	0.441009300236799
A_25	0.0682292570656446	0.0955275689954235	0.149612020692307	0.109000415275092	0.117010339154879	0.431546977210753
A_26	0.125980643952758	0.203520768609749	0.227502433986429	0.260812591960157	0.202471042873313	0.652594779170717
A_27	0.146919430301565	0.0878524169686156	0.229281032619102	0.134043787819739	0.000681629991412926	0.589289721627866
